Hostname;ControlUnit;Slot;Status;serialnumber;cleimodule;tlsn;hwtype;module;typemodule;numsfp;typesfp;sfpvendor;partnumber;wavelength;sfpSN;
Coriant-Device;14;6;UP;40600963994;IPU3A0AKAB;40600965020;elc2269-ELC1(2269);IF0;2*10GBASE-R(9091);0;7(LC);SOURCEPHOTONICS ;XPXESRCDFATL1   ;850 nm;C7T2021410      ;
Coriant-Device;;;;;;;;;;1;7(LC);FINISAR CORP.   ;FTLX1413M3BCL-HW;1310 nm;URR0RKH         ;
Coriant-Device;;;;;;;;IF1;12*1000BASE-X(9092);0;0(Unknown or unspecified);AVAGO           ;ABCU-5710RZ     ;0 nm;AN1201PK3N      ;
Coriant-Device;;;;;;;;;;1;0(Unknown or unspecified);AVAGO           ;ABCU-5710RZ     ;0 nm;AN1209QVMV      ;
Coriant-Device;;;;;;;;;;3;7(LC);FINISAR CORP.   ;FTLF8519P2BNL-T8;850 nm;PQC1M2C         ;
Coriant-Device;;;;;;;;;;4;7(LC);FINISAR CORP.   ;FTLF8519P2BNL-T8;850 nm;PQC1P2C         ;
Coriant-Device;;;;;;;;;;6;7(LC);FINISAR CORP.   ;FTLF8519P2BNL-T8;850 nm;PR82GNC         ;
Coriant-Device;;;;;;;;;;8;0(Unknown or unspecified);AVAGO           ;ABCU-5710RZ     ;0 nm;AN1201PHTV      ;
Coriant-Device;;;;;;;;;;9;7(LC);FINISAR CORP.   ;FTLF8519P2BNL-T8;850 nm;PR835SX         ;
Coriant-Device;;;;;;;;;;10;7(LC);FINISAR CORP.   ;FTLF8519P2BNL-T8;850 nm;PR83M83         ;
Coriant-Device;;;;;;;;;;11;7(LC);FINISAR CORP.   ;FTLF8519P2BNL-T8;850 nm;PR83M7N         ;
Coriant-Device;;7;UP;40600969773;IPU3A0AKAB;40600972640;elc2269-ELC1(2269);IF0;2*10GBASE-R(9091);0;7(LC);OEM             ;AXF85-192-M3    ;850 nm;FTP16072116     ;
Coriant-Device;;;;;;;;IF1;12*1000BASE-X(9092);0;7(LC);FINISAR CORP.   ;FTLF8519P2BNL-T1;850 nm;PP81QM7         ;
Coriant-Device;;;;;;;;;;1;7(LC);FINISAR CORP.   ;FTLF8519P2BNL-T1;850 nm;PP81LPH         ;
Coriant-Device;;;;;;;;;;2;7(LC);FINISAR CORP.   ;FTLF8519P2BNL-T8;850 nm;PPN04DB         ;
Coriant-Device;;;;;;;;;;3;7(LC);FINISAR CORP.   ;FTLF8519P2BNL-T8;850 nm;PPN04S8         ;
Coriant-Device;;;;;;;;;;4;7(LC);AVAGO           ;AFBR-5715PZ-JU3 ;850 nm;AM1509255NU     ;
Coriant-Device;;;;;;;;;;5;7(LC);JDS UNIPHASE    ;JSH-42S4DR3     ;850 nm;SD427677052C    ;
Coriant-Device;;;;;;;;;;6;7(LC);JDS UNIPHASE    ;JSH-42S4DR3     ;850 nm;SD257677075C    ;
Coriant-Device;;;;;;;;;;7;7(LC);JDSU            ;PLRXPL-VI-S24-HW;850 nm;CB52QQ029       ;
Coriant-Device;;;;;;;;;;8;7(LC);FINISAR CORP.   ;FTLF8519P2BNL-T8;850 nm;PQC1MCG         ;
Coriant-Device;;;;;;;;;;9;7(LC);FINISAR CORP.   ;FTLF8519P2BNL-T8;850 nm;PQC1MBX         ;
Coriant-Device;;;;;;;;;;10;7(LC);FINISAR CORP.   ;FTLF8519P2BNL-T8;850 nm;PQC1M5X         ;
Coriant-Device;;;;;;;;;;11;7(LC);FINISAR CORP.   ;FTLF8519P2BNL-T8;850 nm;PQC1LR8         ;
Coriant-Device;;8;UP;40600818453;IPU3A0AKAB;40600818453;elc2269-ELC1(2269);IF0;2*10GBASE-R(9091);0;7(LC);FINISAR CORP.   ;FTLX1412M3BCL   ;1310 nm;UMC006K         ;
Coriant-Device;;;;;;;;IF1;12*1000BASE-X(9092);0;7(LC);FINISAR CORP.   ;FTLF8519P2BNL-T8;850 nm;PPN02S7         ;
Coriant-Device;;;;;;;;;;1;7(LC);FINISAR CORP.   ;FTLF8519P2BNL-T8;850 nm;PQC1MCJ         ;
Coriant-Device;;;;;;;;;;2;7(LC);FINISAR CORP.   ;FTLF8519P2BNL-T8;850 nm;PQC1LRJ         ;
Coriant-Device;;;;;;;;;;3;7(LC);FINISAR CORP.   ;FTLF8519P2BNL-T1;850 nm;PP81QMF         ;
Coriant-Device;;;;;;;;;;4;7(LC);FINISAR CORP.   ;FTLF8519P3BNL   ;850 nm;NR21GDH         ;
Coriant-Device;;;;;;;;;;5;34(RJ45);FINISAR CORP.   ;FCLF-8521-3-T3  ;0 nm;PQ130QX         ;
Coriant-Device;;;;;;;;;;6;34(RJ45);FINISAR CORP.   ;FCLF-8521-3-T3  ;0 nm;PQ130EL         ;
Coriant-Device;;;;;;;;;;7;7(LC);JDSU            ;PLRXPL-VI-S24-22;850 nm;CG16QA15U       ;
Coriant-Device;;;;;;;;;;8;7(LC);JDSU            ;PLRXPL-VI-S24-22;850 nm;CG17QA059       ;
Coriant-Device;;;;;;;;;;9;7(LC);JDSU            ;PLRXPL-VI-S24-22;850 nm;CG17QA05B       ;
Coriant-Device;;;;;;;;;;10;7(LC);JDSU            ;PLRXPL-VI-S24-22;850 nm;CG17QA05D       ;
Coriant-Device;;;;;;;;;;11;7(LC);FINISAR CORP.   ;FTLF8519P2BNL-T8;850 nm;PR83LWD         ;
Coriant-Device;;14;UP;40600959574;IPUCAXPJAC;41500050243;cbb2224-CDC1-B(2224);POWER;cpb2207-dcFeed(2207);;;;;;;
